model	backend	audio_s	rtf_min	rtf_median	speed_x	ram_gb
parakeet-tdt-0.6b-v3	cpu	60	0.064	0.065	15.4	2.60
parakeet-tdt-0.6b-v3	cuda	60	0.028	0.028	35.7	2.84
parakeet-tdt-0.6b-v3	cpu	300	0.044	0.044	22.7	2.64
parakeet-tdt-0.6b-v3	cuda	300	0.023	0.024	41.7	2.88
parakeet-tdt_ctc-110m	cpu	60	0.014	0.015	66.7	0.67
parakeet-tdt_ctc-110m	cuda	60	0.011	0.011	90.9	0.90
parakeet-tdt_ctc-110m	cpu	300	0.014	0.015	66.7	0.72
parakeet-tdt_ctc-110m	cuda	300	0.011	0.011	90.9	0.95
canary-180m-flash	cpu	60	0.046	0.046	21.7	0.97
canary-180m-flash	cuda	60	0.044	0.044	22.7	1.21
canary-180m-flash	cpu	300	0.045	0.045	22.2	1.00
canary-180m-flash	cuda	300	0.043	0.043	23.3	1.24
canary-1b-flash	cpu	60	0.086	0.113	8.8	3.59
canary-1b-flash	cuda	60	0.061	0.063	15.9	3.83
canary-1b-flash	cpu	300	0.088	0.090	11.1	3.62
canary-1b-flash	cuda	300	0.064	0.067	14.9	3.85
canary-1b-v2	cpu	60	0.103	0.111	9.0	3.91
canary-1b-v2	cuda	60	0.084	0.084	11.9	4.14
canary-1b-v2	cpu	300	0.131	0.135	7.4	3.95
canary-1b-v2	cuda	300	0.083	0.096	10.4	4.19
nemotron-3.5-asr-streaming-0.6b	cpu	60	0.080	0.080	12.5	2.79
nemotron-3.5-asr-streaming-0.6b	cuda	60	0.028	0.028	35.7	3.04
nemotron-3.5-asr-streaming-0.6b	cpu	300	0.080	0.083	12.0	3.81
nemotron-3.5-asr-streaming-0.6b	cuda	300	0.052	0.052	19.2	4.13
parakeet-rnnt-0.6b	cpu	60	0.043	0.043	23.3	2.55
parakeet-rnnt-0.6b	cuda	60	0.023	0.023	43.5	2.78
parakeet-rnnt-0.6b	cpu	300	0.041	0.042	23.8	2.59
parakeet-rnnt-0.6b	cuda	300	0.023	0.024	41.7	2.82
parakeet-ctc-0.6b	cpu	60	0.039	0.040	25.0	2.52
parakeet-ctc-0.6b	cuda	60	0.022	0.022	45.5	2.75
parakeet-ctc-0.6b	cpu	300	0.039	0.040	25.0	2.56
parakeet-ctc-0.6b	cuda	300	0.023	0.023	43.5	2.79
parakeet-rnnt-1.1b	cpu	60	0.066	0.066	15.2	4.24
parakeet-rnnt-1.1b	cuda	60	0.038	0.038	26.3	4.47
parakeet-rnnt-1.1b	cpu	300	0.066	0.066	15.2	4.28
parakeet-rnnt-1.1b	cuda	300	0.038	0.038	26.3	4.52
parakeet-ctc-1.1b	cpu	60	0.070	0.071	14.1	4.21
parakeet-ctc-1.1b	cuda	60	0.037	0.037	27.0	4.44
parakeet-ctc-1.1b	cpu	300	0.066	0.066	15.2	4.25
parakeet-ctc-1.1b	cuda	300	0.037	0.037	27.0	4.49
